Id,Label
0,cormeau christoph
1,spitzer manfred
2,haug walter
3,lenz jacob michael
4,curtius ernst robert
5,riedner nicola canettis
6,karasek hellmuth
7,chwin stefan
8,weinzierl ulrich
9,cormeau c
10,auer p
11,susan sontag
12,grimm reinholdt
13,rasch wolfdietrich
14,hegel g
15,jens malte fischer
16,kolb herbert
17,bienek horst
18,agricola e
19,gumperz john
20,heidegger m
21,blank walter
22,link jürgen
23,röcke w
24,klüger ruth
25,goodz naomi s
26,celan paul
27,benjamin walter
28,frenzel elisabeth
29,hahn gerhard
30,benn gottfried
31,pinker s
32,schmidt jochen
33,kühn dieter
34,müllerseidel walter
35,jäger ludwig
36,riha ortrun
37,emmerich wolfgang
38,eco umberto
39,mohr wolfgang
40,müller götz
41,franz kafka
42,rohrwasser michael
43,redlinger w e
44,lewandowski theodor
45,wegera klauspeter
46,kern p
47,wisniewski roswithamittelalterliche
48,freud siegmund
49,störmer wilhelm
50,adorno theodor w
51,weber gottfried
52,henderson i strickers
53,la fontaines“
54,schiller friedrich
55,reichert hermann
56,reuter hansheinrich
57,jauss hans robert
58,brinker klaus
59,kühne andreas
60,richter w
61,canetti elias
62,augenstein susanne
63,freund winfried
64,schänzlin gertrud
65,barner wilfried
66,kwon sehoon
67,eisenberg peter
68,volterra v
69,fechter paul
70,steinmetz horst
71,michelsen peter goethes
72,robert musil
73,schönbach anton
74,völker klaus
75,sarcinelli u
76,wehdeking volker
77,george stefan
78,durchges aufl
79,jauss hans
80,meisel jürgen m
81,darwin charles
82,grosjean f
83,kürschner wilfried
84,knapp fritz peter
85,bachorski hansjürgen
86,arntzen helmut
87,meier albert
88,bachtin michail
89,bußmann hadumod
90,chomsky noam
91,kiesel helmut
92,uz johann peter
93,kracauer siegfried
94,storm theodor
95,klemperer victor
96,george lakoff
97,duden fremdwörterbuch
98,ehrismann otfrid
99,arnold heinz
100,mann thomas „der
101,mugdan joachim
102,grimkowski sabine
103,spiewok wolfgang
104,iden peter
105,nussbaumer markus
106,schulze ursula
107,park t
108,schenk günter das
109,fasold regina
110,elias norbert
111,grimm jacob
112,hartmann von
113,rothemann sabine
114,augst g
115,czerwinski peter
116,schmidtmühlisch lothar
117,brecht bertolt
118,keen maurice
119,könneker b
120,orwell g
121,bumke joachim
122,mertens volker
123,rost hans
124,müller joachim
125,jonekeit sylvie
126,bräuer r
127,kurzke hermann
128,jackson david a
129,schröder jürgen
130,bartsch kurt
131,goethe johann wolfgang
132,claude david stefan
133,mauser wolfram
134,norbert oellers
135,jenny urs
136,morwitz ernst
137,wolfram von eschenbach
138,de bruyn
139,schwietering julius
140,vaget hans rudolf
141,paech joachim
142,peil dietmar
143,haeckel ernst heinrich
144,taeschner t
145,rehbein jochen
146,lexer matthias
147,ragotzky h
148,stetter christian
149,fried erich
150,bach helmut
151,wehrli max
152,eichendorff joseph
153,wilhelm emrich
154,lessing gotthold e
155,sucher c
156,e t a
157,jaspers karl
158,simrock dr karl
159,hartmann cramer thomas
160,nagel bert
161,rilke rainer maria
162,elisabeth brocksulzer
163,kleist heinrich von
164,kasper elke
165,spengler oswald
166,peters ursula
167,kant immanuel
168,vigener gerhard
169,hauser arnold
170,splett jochen
171,de loecker armand
172,kracht christian faserland
173,jäger siegfried
174,meiners i
175,heine heinrich
176,althoff gerd
177,schlaffer heinz
178,hoffman werner
179,thimm caja
180,de boor helmut
181,chrétien de troyes
182,hermand jost
183,müller jandirk
184,romaine suzanne
185,portmann paul
186,fromm e
187,martinez matias
188,polenz von peter
189,linke angelika
190,drawert kurt
191,lanza elizabeth
192,duby georges
193,széll zsuzsa
194,lutz götze
195,kaiser ernst
196,sahlberg oskar
197,weinrich harald
198,bürger peter
199,margetts john
200,gadamer hansgeorg
201,vater heinz
202,janz marlies
203,kohl gaby
204,wapnewski peter
205,ernest w b hesslütich
206,der stricker
207,steinhagen harald
208,alt peterandr
209,dürrenmatt friedrich
210, w
211, buscha
212,kurscheidt georg
213,clahsen h
214,ehlert trude
215,heinrich wittenwiler
216,kuhn hugo
217,pulver elsbeth
218,baßler moritz
219,albes claudia
220,schweikle günther
221,saussure ferdinand
222,lessing gotthold
223,horkheimer max
224,dittmar n
225,hinze dagmar günter
226,eckermann johann peter
227,ricoeur paul
228,wilpert gero
229,wilson d
230,brunner horst
231,karthaus ulrich sturm
232,gnam andrea
233,ankum katharina
234,wiese benno
235,hoffmann eta
236,thomas anz
237,schirok bernd
238,mecklenburg norbert
239,see klaus
240,hilzinger sonja
241,gottfried von
242,doering sabine
243,wittstock uwe günter
244,gu yu
245,blessin stefan johann wolfgang
246,heinzle joachim
247,koch peter
248,aust hugo
249,stolze radegundis
250,fontane theodor
251,rischbieter henning bertolt
252,derrida jacques
253,stephens anthony r
254,nietzsche friedrich
255,schnell rüdiger
256,turk horst
257,naumann h
258,irigaray luce
259,kluge friedrich
260,genesee fred
261,georg simmel
262,walser robert
263,mann klaus
264,k aiser joachim
265,bovenschen silvia
266,knopf jan friedrich
267,albertsen elisabeth
268,schelle karl
269,graf michael
270,fühmann franz
271,dreslerbrumme charlotte
272,müller christian
273,hamm heinz
274,rzehak wolfgang
275,schwenger hannes
276,müller heiner
277,sembdner helmut
278,grawe christian
279,ranke friedrich
280,wulf joseph
281,plessner helmut
282,gero von wilpert
283,ruh kurt
284,sciullo a
285,jauß hans robert
286,schilling m
287,lennig walter
288,foucault michel
289,kittler friedrich
290,fisher rodney
291,maurer f
292,freud sigmund
293,max frisch
294,lessing g e
295,von torne
296,von goethe johann
297,motsch wolfgang
298,androutsopoulos jannis k
299,prott jürgen
300,mone franz
301,h henne
302,venturelli aldo
303,bisky jens
304,von bornmann
305,spillner bernd
306,pingel r
307,ehrismann g
308,kurzenberger hajo
309,laplanche j
310,wolf alois
311,kartschoke dieter
312,brant sebastian das
313,büchner georg
314,mayer hans
315,kraft thomas
316,stark michael
317,stefani guido
318,gilles deleuze
319,curschmann michael
320,baumgart reinhard
321,heinrich von kleist
322,bürger christa
323,schlobinski peter
324,hartzell richard e
325,schröder werner
326,von mattalbrecht beatrice eines
327,schneider robert
328,stadelmaier gerhard
329,monumenta germaniae
330,strelka joseph p
331,ehrismann otfried
332,kühnel jürgen
333,fleischer wolfgang
334,weddige hilkert
335,wolf christa
336,pontalis jb
337,wright christopher
338,henne helmut
339,vondung klaus
340,engel ulrich
341,neumann gerhard
342,kielhöfer bernd
343,arendt h
344,schmid elisabeth
345,ammon u
346,hartung harald weil
347,fiddy andrea
348,gönner gerhard
349,sören kierkegaard
350,bauer gerhard
351,vinken barbara
352,kunert günter
353,martini fritz
354,johnson l
355,ludewigt irmgard
356,braungart wolfgang
357,bünting karldieter
358,mezger werner
359,rousseau jeanjacques
360,paul hermann
361,brall helmut
362,jünger ernst
363,hartung rudolf
364,helbig gerhardt
365,mentrup wolfgang
366,sperber d
367,wintersteiner werner
368,grubmüller klaus
369,herder johann
370,scheffel michael
371,wellershoff dieter
372,bachmann ingeborg
373,wittgenstein ludwig
374,jäger lorenz der
375,mark johnson
376,wurst karin a jrm
377,koerfer armin
378,große wilhelm
379,schnitzler arthur
380,hahn i
381,burckhardt judith
382,jens w
383,max brod
384,grathoff dirk
